"Mese,""Varianza vendite"""
201601,110972.691204257
201602,38351.0435100466
201603,295872.781138519
201604,191570.684792203
201605,196337.278810343
201606,69653.8695388889
201607,160827.842888087
201608,5731.73667285714
201609,35471.3577466949
201610,152986.941006066
201611,397335.011873956
201612,264896.325849901
201701,181979.970995667
201702,43393.8605261279
201703,88570.205400847
201704,471101.399361996
201705,39083.5122050641
201706,624458.34956256
201707,256962.885998192
201708,13170.9308356725
201709,44541.9327838972
201710,687600.467134253
201711,7355.77151949495
201712,442718.918099512
201801,38217.6561699608
201802,50629.9956360324
201803,142062.611345507
201804,317879.844685161
201805,69215.7165818027
201806,208360.387216836
201807,139695.276144637
201808,7884.58927205882
201809,231756.571460918
201810,272246.003412605
201811,78327.0505054299
201812,214416.386952273
201901,184759.874082656
201902,54997.569054878
201903,79830.8775473987
201904,169999.102631523
201905,192411.130895038
201906,89277.4086640112
201907,57077.3639738796
201908,120844.375429994
201909,234843.343474732
201910,64392.9493331564
201911,229925.526507311
201912,70895.0544836076
202001,65327.3108314733
202002,18086.2925111623
202003,18976.1629754778
202004,825.39845
202005,56468.2611723219
202006,90620.1698420444
202007,80054.7082105621
202008,101551.251912643
